level,name,race_eth,age_grp,tenure,count,count_se,share,share_se
region,Backus Hospital HSA,total,under35,other,72.2093892114901,32.1079198652869,0.009428393331590797,0.004193143056613372
region,Backus Hospital HSA,total,ages35_64,owned,19458.317107292783,697.4641459016764,0.7421799495350249,0.014041040577738926
region,Backus Hospital HSA,total,ages35_64,rented,6482.35123352298,424.8507342575897,0.24725011340067274,0.013885320123992939
region,Backus Hospital HSA,total,ages35_64,other,277.12037670941623,81.3546781097748,0.010569937064302305,0.0030879044588147456
region,Backus Hospital HSA,total,ages65plus,owned,9691.301644771691,460.9948428542452,0.7937092725442222,0.019053318184795387
region,Backus Hospital HSA,total,ages65plus,rented,2198.3330865701664,253.04223408265509,0.18004158975825654,0.018349056988878797
region,Backus Hospital HSA,total,ages65plus,other,320.50565634239,86.6085566444912,0.026249137697521307,0.006999068064605787
region,Backus Hospital HSA,white,total,owned,29283.70780959387,841.1275814773755,0.7625714275076668,0.011246295961984934
region,Backus Hospital HSA,white,total,rented,8546.58249635934,490.6118899704114,0.22255991819538543,0.011087237007038621
region,Backus Hospital HSA,white,total,other,570.9751404884668,105.32211944106936,0.014868654296947763,0.0027282212598559465
region,Backus Hospital HSA,white,under35,owned,3395.5292105905514,311.05325488927184,0.5938998003058457,0.034242259109779745
region,Backus Hospital HSA,white,under35,rented,2256.675874742917,249.81395753442462,0.39470705985525695,0.03414112736461802
region,Backus Hospital HSA,white,under35,other,65.13849491681376,31.537412653211593,0.011393139838897394,0.005510934788721901
region,Backus Hospital HSA,white,ages35_64,owned,16807.076994471903,641.7673433896582,0.7799044117391583,0.014708806096346722
region,Backus Hospital HSA,white,ages35_64,rented,4490.60946879943,354.89299497604117,0.20837925222013642,0.014462959293152748
region,Backus Hospital HSA,white,ages35_64,other,252.48909861930593,79.60809170652223,0.011716336040705303,0.0036725770293088555
region,Backus Hospital HSA,white,ages65plus,owned,9081.101604531415,447.1918338237615,0.8156375541827783,0.018883269377387622
region,Backus Hospital HSA,white,ages65plus,rented,1799.2971528169937,229.01145308560373,0.16160752217983979,0.018449882339340296
region,Backus Hospital HSA,white,ages65plus,other,253.34754695234705,61.32811074844446,0.02275492363738194,0.005480209069223052
region,Backus Hospital HSA,black,total,owned,701.6341388292497,151.10568660040244,0.40962083058808785,0.06931586680884073
region,Backus Hospital HSA,black,total,rented,1003.6675813185742,191.1084538743167,0.5859508902746007,0.06937577237930712
region,Backus Hospital HSA,black,total,other,7.585141152470991,7.585141152470795,0.004428279137311452,0.004453441787724767
region,Backus Hospital HSA,black,under35,owned,66.12961567445365,33.66658316440144,0.20394304606118957,0.10668196314832566
region,Backus Hospital HSA,black,under35,rented,258.1256945782559,107.2405797670385,0.7960569539388105,0.10668196314832563
region,Backus Hospital HSA,black,ages35_64,owned,485.45612547864874,135.83311843756093,0.4284420633329534,0.08899780588424719
region,Backus Hospital HSA,black,ages35_64,rented,640.0317134170326,150.0075246833908,0.5648636272218168,0.08898695444862845
region,Backus Hospital HSA,black,ages35_64,other,7.585141152470991,7.585141152470795,0.006694309445229771,0.006756140424560352
region,Backus Hospital HSA,black,ages65plus,owned,150.0483976761472,57.003342375401665,0.5871389759668058,0.1476036016745873
region,Backus Hospital HSA,black,ages65plus,rented,105.51017332328561,50.207921476710126,0.41286102403319425,0.1476036016745873
region,Backus Hospital HSA,latino,total,owned,1490.2084482330354,205.85771227682355,0.45671393323864895,0.04751426891162589
region,Backus Hospital HSA,latino,total,rented,1750.3668425481674,234.5031776798388,0.5364463785040074,0.04756724862724568
region,Backus Hospital HSA,latino,total,other,22.317167230034386,16.068293545253255,0.006839688257343579,0.004934434241174212
region,Backus Hospital HSA,latino,under35,owned,313.620005556345,87.44421566202385,0.28913697764462465,0.07259259048297428
region,Backus Hospital HSA,latino,under35,rented,765.1423810523708,167.04489116113572,0.7054108526426507,0.07285114834107287
region,Backus Hospital HSA,latino,under35,other,5.913838864638398,5.913838864638502,0.005452169712724727,0.005504654760177879
region,Backus Hospital HSA,latino,ages35_64,owned,1018.6410986249922,179.4709416297824,0.5484653076008679,0.061846977250679606
region,Backus Hospital HSA,latino,ages35_64,rented,822.2126948516432,147.6621428135561,0.4427026743804708,0.061694793581047735
region,Backus Hospital HSA,latino,ages35_64,other,16.40332836539599,14.940448880064038,0.008832018018661379,0.008049563382500131
region,Backus Hospital HSA,latino,ages65plus,owned,157.94734405169822,50.23465860280207,0.49211048631479026,0.13693026667225136
region,Backus Hospital HSA,latino,ages65plus,rented,163.01176664415354,72.71666130453526,0.5078895136852097,0.13693026667225136
region,Backus Hospital HSA,asian,total,owned,708.3255140458052,125.38670753041747,0.5861237083220183,0.07275920130536694
